ID,GeneAssociation,Fullname,Reaction,LowBound,UpBound
R_METabc, (b0197 & b0199 & b0198), "L-methionine transport via ABC system", M_atp_c + M_h2o_c + M_met__L_e -> M_adp_c + M_h_c + M_met__L_c + M_pi_c, 0.0, 999999.0
R_ASPO4_1, b2574, "L-aspartate oxidase", M_asp__L_c + M_mqn8_c -> M_iasp_c + M_mql8_c, 0.0, 999999.0
R_GLCS1, b3429, "Glycogen synthase (ADPGlc)", M_adpglc_c -> M_adp_c + M_glycogen_c + M_h_c, 0.0, 999999.0
R_DHPS2_1, b3177, "Dihydropteroate synthase", M_4abz_c + M_6hmhptpp_c -> M_dhpt_c + M_h_c + M_ppi_c, 0.0, 999999.0
R_DXPRIi, b0173, "1-deoxy-D-xylulose reductoisomerase", M_dxyl5p_c + M_h_c + M_nadph_c -> M_2me4p_c + M_nadp_c, 0.0, 999999.0
R_EX_phe__L_e, , "L-Phenylalanine exchange", M_phe__L_e <-> M_phe__L_b, -999999.0, 999999.0
R_EX_gbbtn_e, , "Gamma-butyrobetaine exchange", M_gbbtn_e <-> M_gbbtn_b, -999999.0, 999999.0
R_GLYC3Pabc, (b3451 & b3453 & b3452 & b3450), "Sn-Glycerol 3-phosphate transport via ABC system", M_atp_c + M_glyc3p_e + M_h2o_c -> M_adp_c + M_glyc3p_c + M_h_c + M_pi_c, 0.0, 999999.0
R_EX_uri_e, , "Uridine exchange", M_uri_e <-> M_uri_b, -999999.0, 999999.0
R_UDPGD, b2028, "UDPglucose 6-dehydrogenase", M_h2o_c + 2.0 M_nad_c + M_udpg_c -> 3.0 M_h_c + 2.0 M_nadh_c + M_udpglcur_c, 0.0, 999999.0
R_ACMANApts, (b2415 & b2416 & b1818 & b1817 & b1819), "N-acetyl-D-mannosamine transport via PTS", M_acmana_e + M_pep_c -> M_acmanap_c + M_pyr_c, 0.0, 999999.0
R_EX_pro__L_e, , "L-Proline exchange", M_pro__L_e <-> M_pro__L_b, -999999.0, 999999.0
R_SBTpts, (b2703 & b2415 & b2702 & b2416 & b2704), "D-sorbitol transport via PEP:Pyr PTS", M_pep_c + M_sbt__D_e -> M_pyr_c + M_sbt6p_c, 0.0, 999999.0
R_Kt2r, (b1363 | b3849), "Potassium reversible transport  via proton symport", M_h_e + M_k_e <-> M_h_c + M_k_c, -999999.0, 999999.0
R_TTDCAt2, b2344, "Tetradecanoate transport via proton symport", M_h_e + M_ttdca_e -> M_h_c + M_ttdca_c, 0.0, 999999.0
R_DKGLCNR1, (b0207 | b3012), "2,5-diketo-D-gluconate reductase", M_25dkglcn_c + M_h_c + M_nadph_c -> M_2dhguln_c + M_nadp_c, 0.0, 999999.0
R_SADT2, (b2751 & b2752), "Sulfate adenyltransferase", M_atp_c + M_gtp_c + M_h2o_c + M_so4_c -> M_aps_c + M_gdp_c + M_pi_c + M_ppi_c, 0.0, 999999.0
R_NNDPR, b0109, "Nicotinate-nucleotide diphosphorylase (carboxylating)", 2.0 M_h_c + M_prpp_c + M_quln_c -> M_co2_c + M_nicrnt_c + M_ppi_c, 0.0, 999999.0
R_SGSAD, b1746, "Succinylglutamic semialdehyde dehydrogenase", M_h2o_c + M_nad_c + M_sucgsa_c -> 2.0 M_h_c + M_nadh_c + M_sucglu_c, 0.0, 999999.0
R_EX_spmd_e, , "Spermidine exchange", M_spmd_e <-> M_spmd_b, -999999.0, 999999.0
R_PPPNDO, (b2542 & b2539 & b2538 & b2540), "Phenylpropanoate Dioxygenase", M_h_c + M_nadh_c + M_o2_c + M_pppn_c -> M_cechddd_c + M_nad_c, 0.0, 999999.0
R_OMBZLM, b3833, "2-Octaprenyl-6-methoxy-benzoquinol methylase", M_2ombzl_c + M_amet_c -> M_2ommbl_c + M_ahcys_c + M_h_c, 0.0, 999999.0
R_EX_no2_e, , "Nitrite exchange", M_no2_e <-> M_no2_b, -999999.0, 999999.0
R_C120SN, ((b0180 & b1095 & b1093 & b1288) | (b2323 & b0180 & b1093 & b1288) | (b2323 & b0954 & b1093 & b1288) | (b0954 & b1095 & b1093 & b1288)), "Fatty acid biosynthesis (n-C12:0)", M_actACP_c + 14.0 M_h_c + 4.0 M_malACP_c + 10.0 M_nadph_c -> 4.0 M_ACP_c + 4.0 M_co2_c + M_ddcaACP_c + 5.0 M_h2o_c + 10.0 M_nadp_c, 0.0, 999999.0
R_GSNt2, b2964, "Guanosine transport in via proton symport", M_gsn_e + M_h_e -> M_gsn_c + M_h_c, 0.0, 999999.0
R_PPC, b3956, "Phosphoenolpyruvate carboxylase", M_co2_c + M_h2o_c + M_pep_c -> M_h_c + M_oaa_c + M_pi_c, 0.0, 999999.0
R_ADMDC, b0120, "Adenosylmethionine decarboxylase", M_amet_c + M_h_c <-> M_ametam_c + M_co2_c, -999999.0, 999999.0
R_ECAP_EC, , "ECA polymerization (Ecoli)", M_unagamuf_c -> M_eca_EC_c + M_h_c + M_udcpdp_c, 0.0, 999999.0
R_GMHEPAT, b3052, "D-glycero-D-manno-hepose 1-phosphate adenyltransferase", M_atp_c + M_gmhep1p_c + M_h_c -> M_adphep_DD_c + M_ppi_c, 0.0, 999999.0
R_GALCTt2r, b3127, "D-galactarte transport via proton symport, reversible", M_galct__D_e + M_h_e <-> M_galct__D_c + M_h_c, -999999.0, 999999.0
R_MLTP3, b3417, "Maltodextrin phosphorylase (maltoheptaose)", M_malthp_c + M_pi_c <-> M_g1p_c + M_malthx_c, -999999.0, 999999.0
R_NADS1, b1740, "NAD synthase (nh3)", M_atp_c + M_dnad_c + M_nh4_c -> M_amp_c + M_h_c + M_nad_c + M_ppi_c, 0.0, 999999.0
R_LPLIPA1, b3825, "Lysophospholipase L (acyl-glycerophosphoglycerol)", 0.02 M_agpg_EC_c + M_h2o_c -> M_g3pg_c + M_h_c + 0.36 M_hdca_c + 0.07 M_hdcea_c + 0.5 M_ocdcea_c + 0.02 M_ttdca_c + 0.05 M_ttdcea_c, 0.0, 999999.0
R_EX_tma_e, , "Trimethylamine exchange", M_tma_e <-> M_tma_b, -999999.0, 999999.0
R_CHORS, b2329, "Chorismate synthase", M_3psme_c -> M_chor_c + M_pi_c, 0.0, 999999.0
R_G6Pt6_2, b3666, "Glucose-6-phosphate transport via phosphate antiport", M_g6p_e + 2.0 M_pi_c -> M_g6p_c + 2.0 M_pi_e, 0.0, 999999.0
R_EX_thm_e, , "Thiamin exchange", M_thm_e <-> M_thm_b, -999999.0, 999999.0
R_HETZK, b2104, "Hydroxyethylthiazole kinase", M_4mhetz_c + M_atp_c -> M_4mpetz_c + M_adp_c + M_h_c, 0.0, 999999.0
R_NMNN, , "NMN nucleosidase", M_h2o_c + M_nmn_c -> M_h_c + M_ncam_c + M_r5p_c, 0.0, 999999.0
R_NTD7, b0480, "5'-nucleotidase (AMP)", M_amp_c + M_h2o_c -> M_adn_c + M_pi_c, 0.0, 999999.0
R_THRt4, b3089, "L-threonine  via sodium symport", M_na1_e + M_thr__L_e -> M_na1_c + M_thr__L_c, 0.0, 999999.0
R_GNK, (b4268 | b3437), "Gluconokinase", M_atp_c + M_glcn_c -> M_6pgc_c + M_adp_c + M_h_c, 0.0, 999999.0
R_EX_val__L_e, , "L-Valine exchange", M_val__L_e <-> M_val__L_b, -999999.0, 999999.0
R_MME, , "Methylmalonyl-CoA epimerase", M_mmcoa__R_c <-> M_mmcoa__S_c, -999999.0, 999999.0
R_CYTBO3, (b0432 & b0431 & b0429 & b0430), "Cytochrome oxidase bo3 (ubiquinol-8: 2.5 protons)", 2.5 M_h_c + 0.5 M_o2_c + M_q8h2_c -> M_h2o_c + 2.5 M_h_e + M_q8_c, 0.0, 999999.0
R_EX_dad_2_e, , "Deoxyadenosine exchange", M_dad_2_e <-> M_dad_2_b, -999999.0, 999999.0
R_PYDXK, (b1636 | b2418), "Pyridoxal kinase", M_atp_c + M_pydx_c -> M_adp_c + M_h_c + M_pydx5p_c, 0.0, 999999.0
R_SDPTA, , "Succinyldiaminopimelate transaminase", M_akg_c + M_sl26da_c <-> M_glu__L_c + M_sl2a6o_c, -999999.0, 999999.0
R_GARFT, b2500, "Phosphoribosylglycinamide formyltransferase", M_10fthf_c + M_gar_c <-> M_fgam_c + M_h_c + M_thf_c, -999999.0, 999999.0
R_ALAt2r, (b0007 | b4208), "L alanine reversible transport via proton symport", M_ala__L_e + M_h_e <-> M_ala__L_c + M_h_c, -999999.0, 999999.0
R_GLTPD, b2091, "Galactitol-1-phosphate dehydrogenase", M_galt1p_c + M_nad_c <-> M_h_c + M_nadh_c + M_tag6p__D_c, -999999.0, 999999.0
R_METS_1, (b4019 | b3829), "Methionine synthase", M_5mthf_c + M_hcys__L_c -> M_met__L_c + M_thf_c, 0.0, 999999.0
R_TMDPP, b4382, "Thymidine phosphorylase", M_pi_c + M_thymd_c <-> M_2dr1p_c + M_thym_c, -999999.0, 999999.0
R_UNK3, , "2-keto-4-methylthiobutyrate transamination", M_2kmb_c + M_glu__L_c -> M_akg_c + M_met__L_c, 0.0, 999999.0
R_ACS, b4069, "Acetyl-CoA synthetase", M_ac_c + M_atp_c + M_coa_c -> M_accoa_c + M_amp_c + M_ppi_c, 0.0, 999999.0
R_LCADi_copy2, b1241, "Lactaldehyde dehydrogenase", M_h2o_c + M_lald__L_c + M_nad_c -> 2.0 M_h_c + M_lac__L_c + M_nadh_c, 0.0, 999999.0
R_PPA, b4226, "Inorganic diphosphatase", M_h2o_c + M_ppi_c -> M_h_c + 2.0 M_pi_c, 0.0, 999999.0
R_THRS, b0004, "Threonine synthase", M_h2o_c + M_phom_c -> M_pi_c + M_thr__L_c, 0.0, 999999.0
R_UMPK, (b0171 | b0910), "UMP kinase", M_atp_c + M_ump_c <-> M_adp_c + M_udp_c, -999999.0, 999999.0
R_EDTXS1, b1054, "Endotoxin Synthesis (lauroyl transferase)", M_ddcaACP_c + M_kdo2lipid4_c -> M_ACP_c + M_kdo2lipid4L_c, 0.0, 999999.0
R_NACt, , "Nicotinic acid transport", M_nac_e -> M_nac_c, 0.0, 999999.0
R_VPAMTr, b3572, "Valine-pyruvate aminotransferase", M_3mob_c + M_ala__L_c -> M_pyr_c + M_val__L_c, 0.0, 999999.0
R_CLPNS_EC, b1249, "Cardiolipin Synthase (E.coli)", 0.04 M_pg_EC_c <-> 0.02 M_clpn_EC_c + M_glyc_c, -999999.0, 999999.0
R_GUI2, b3092, "Glucuronate isomerase (D-galacturonate)", M_galur_c <-> M_tagur_c, -999999.0, 999999.0
R_NADH6, (b2285 & b2284 & b2281 & b2287 & b2276 & b2283 & b2288 & b2282 & b2286 & b2277 & b2278 & b2280 & b2279), "NADH dehydrogenase (ubiquinone-8 & 3.5 protons)", 4.5 M_h_c + M_nadh_c + M_q8_c -> 3.5 M_h_e + M_nad_c + M_q8h2_c, 0.0, 999999.0
R_UAMAS, b0091, "UDP-N-acetylmuramoyl-L-alanine synthetase", M_ala__L_c + M_atp_c + M_uamr_c -> M_adp_c + M_h_c + M_pi_c + M_uama_c, 0.0, 999999.0
R_PLIPA3, b3821, "Phospholipase A (phosphatidylcholine)", M_h2o_c + 0.02 M_pc_EC_c -> 0.02 M_agpc_EC_c + M_h_c + 0.36 M_hdca_c + 0.07 M_hdcea_c + 0.5 M_ocdcea_c + 0.02 M_ttdca_c + 0.05 M_ttdcea_c, 0.0, 999999.0
R_ACACT1r, b2224, "Acetyl-CoA C-acetyltransferase", 2.0 M_accoa_c <-> M_aacoa_c + M_coa_c, -999999.0, 999999.0
R_DADNt2, (b2964 | b2393), "Deoxyadenosine transport in via proton symport", M_dad_2_e + M_h_e -> M_dad_2_c + M_h_c, 0.0, 999999.0
R_12PPDt, , "S-Propane-1,2-diol facilitated transport", M_12ppd__S_e <-> M_12ppd__S_c, -999999.0, 999999.0
R_NADK, b2615, "NAD kinase", M_atp_c + M_nad_c -> M_adp_c + M_h_c + M_nadp_c, 0.0, 999999.0
R_EX_3hpppn_e, , "3-(3-hydroxy-phenyl)propionate exchange", M_3hpppn_e <-> M_3hpppn_b, -999999.0, 999999.0
R_TMAOR2e, ((b0996 & b0997) | (b1873 & b1872)), "Trimethylamine N-oxide reductase (demethylmenaquinol 8)", M_2dmmql8_c + M_h_e + M_tmao_e -> M_2dmmq8_c + M_h2o_e + M_tma_e, 0.0, 999999.0
R_NTPP6, b2781, "Nucleoside triphosphate pyrophosphorylase (atp)", M_atp_c + M_h2o_c -> M_amp_c + M_h_c + M_ppi_c, 0.0, 999999.0
R_TSULabc, ((b2422 & b2423 & b3917 & b2424) | (b2422 & b2425 & b2423 & b2424)), "Thiosulfate transport via ABC system", M_atp_c + M_h2o_c + M_tsul_e -> M_adp_c + M_h_c + M_pi_c + M_tsul_c, 0.0, 999999.0
R_DPCOAK, , "Dephospho-CoA kinase", M_atp_c + M_dpcoa_c -> M_adp_c + M_coa_c + M_h_c, 0.0, 999999.0
R_GTPCI_1, b2153, "GTP cyclohydrolase I", M_gtp_c + M_h2o_c -> M_ahdt_c + M_for_c, 0.0, 999999.0
R_SPMDabc, ((b1443 & b1442 & b1440 & b1441) | (b1123 & b1124 & b1125 & b1126)), "Spermidine transport via ABC system", M_atp_c + M_h2o_c + M_spmd_e -> M_adp_c + M_h_c + M_pi_c + M_spmd_c, 0.0, 999999.0
R_AMAOTr, b0774, "Adenosylmethionine-8-amino-7-oxononanoate transaminase", M_8aonn_c + M_amet_c <-> M_amob_c + M_dann_c, -999999.0, 999999.0
R_CHLt2, (b0314 | b1801), "Choline transport via proton symport", M_chol_e + M_h_e <-> M_chol_c + M_h_c, -999999.0, 999999.0
R_FUMt2_2, b3528, "Fumarate transport via proton symport (2 H)", M_fum_e + 2.0 M_h_e -> M_fum_c + 2.0 M_h_c, 0.0, 999999.0
R_EX_maltttr_e, , "Maltotetraose exchange", M_maltttr_e <-> M_maltttr_b, -999999.0, 999999.0
R_M1PD, b3600, "Mannitol-1-phosphate 5-dehydrogenase", M_mnl1p_c + M_nad_c <-> M_f6p_c + M_h_c + M_nadh_c, -999999.0, 999999.0
R_L_LACD3, b3605, "L-Lactate dehydrogenase (menaquinone)", M_lac__L_c + M_mqn8_c -> M_mql8_c + M_pyr_c, 0.0, 999999.0
R_SPODM, (b3908 | b1646 | b1656), "Superoxide dismutase", 2.0 M_h_c + 2.0 M_o2s_c -> M_h2o2_c + M_o2_c, 0.0, 999999.0
R_ANS, (b1264 & b1263), "Anthranilate synthase", M_chor_c + M_gln__L_c -> M_anth_c + M_glu__L_c + M_h_c + M_pyr_c, 0.0, 999999.0
R_EX_gly_e, , "Glycine exchange", M_gly_e <-> M_gly_b, -999999.0, 999999.0
R_EX_h_e, , "H+ exchange", M_h_e <-> M_h_b, -999999.0, 999999.0
R_EX_tmao_e, , "Trimethylamine N-oxide exchange", M_tmao_e <-> M_tmao_b, -999999.0, 999999.0
R_KDOPP, , "3-deoxy-manno-octulosonate-8-phosphatase", M_h2o_c + M_kdo8p_c -> M_kdo_c + M_pi_c, 0.0, 999999.0
R_HYXNt, , "Hypoxanthine transport", M_hxan_e <-> M_hxan_c, -999999.0, 999999.0
R_NDPK7, b2518, "Nucleoside-diphosphate kinase (ATP:dCDP)", M_atp_c + M_dcdp_c <-> M_adp_c + M_dctp_c, -999999.0, 999999.0
R_IDOND2, b4267, "L-indonate 5-dehydrogenase (NADP)", M_5dglcn_c + M_h_c + M_nadph_c -> M_idon__L_c + M_nadp_c, 0.0, 999999.0
R_FAO1, (b1805 & b3845 & b0221 & b3846), "Fatty acid oxidation (tetradecanoate)", M_atp_c + 7.0 M_coa_c + 6.0 M_fad_c + 6.0 M_h2o_c + 6.0 M_nad_c + M_ttdca_c -> 7.0 M_accoa_c + M_amp_c + 6.0 M_fadh2_c + 6.0 M_h_c + 6.0 M_nadh_c + M_ppi_c, 0.0, 999999.0
R_NTD10, b0480, "5'-nucleotidase (XMP)", M_h2o_c + M_xmp_c -> M_pi_c + M_xtsn_c, 0.0, 999999.0
R_EX_nmn_e, , "NMN exchange", M_nmn_e <-> M_nmn_b, -999999.0, 999999.0
R_MACPD, b2323, "Malonyl-ACP decarboxylase", M_h_c + M_malACP_c -> M_acACP_c + M_co2_c, 0.0, 999999.0
R_NO3R1, (b1225 & b1226 & b1227 & b1224), "Nitrate reductase (Ubiquinol-8)", 2.0 M_h_c + M_no3_c + M_q8h2_c -> M_h2o_c + 2.0 M_h_e + M_no2_c + M_q8_c, 0.0, 999999.0
R_GMHEPK, b3052, "D-glycero-D-manno-heptose 7-phosphate kinase", M_atp_c + M_gmhep7p_c -> M_adp_c + M_gmhep17bp_c + M_h_c, 0.0, 999999.0
R_GLUTRS, b2400, "Glutamyl-tRNA synthetase", M_atp_c + M_glu__L_c + M_trnaglu_c -> M_amp_c + M_glutrna_c + M_ppi_c, 0.0, 999999.0
R_QULNS_1, b0750, "Quinolinate synthase", M_dhap_c + M_iasp_c -> 2.0 M_h2o_c + M_h_c + M_pi_c + M_quln_c, 0.0, 999999.0
R_CYTDt2_copy2, b2406, "Cytidine transport in via proton symport", M_cytd_e + M_h_e <-> M_cytd_c + M_h_c, -999999.0, 999999.0
R_AICART, b4006, "Phosphoribosylaminoimidazolecarboxamide formyltransferase", M_10fthf_c + M_aicar_c <-> M_fprica_c + M_thf_c, -999999.0, 999999.0
R_MTAN, b0159, "Methylthioadenosine nucleosidase", M_5mta_c + M_h2o_c -> M_5mtr_c + M_ade_c, 0.0, 999999.0
R_CYNTt2, b0341, "Cyanate transport via proton symport", M_cynt_e + M_h_e -> M_cynt_c + M_h_c, 0.0, 999999.0
R_INSt2_copy1, b2964, "Inosine transport in via proton symport", M_h_e + M_ins_e -> M_h_c + M_ins_c, 0.0, 999999.0
R_GALt2, b2943, "D galactose transport in via proton symport", M_gal_e + M_h_e -> M_gal_c + M_h_c, 0.0, 999999.0
R_SOTA, b1745, "Succinylornithine transaminase", M_akg_c + M_sucorn_c -> M_glu__L_c + M_sucgsa_c, 0.0, 999999.0
R_ASNN, (b1767 | b2957 | b0828), "L-asparaginase", M_asn__L_c + M_h2o_c -> M_asp__L_c + M_nh4_c, 0.0, 999999.0
R_FFSD, , "Beta-fructofuranosidase", M_h2o_c + M_suc6p_c -> M_fru_c + M_g6p_c, 0.0, 999999.0
R_RBK_L1, b0063, "L-ribulokinase (L-ribulose)", M_atp_c + M_rbl__L_c -> M_adp_c + M_h_c + M_ru5p__L_c, 0.0, 999999.0
R_ACt2r, , "Acetate reversible transport via proton symport", M_ac_e + M_h_e <-> M_ac_c + M_h_c, -999999.0, 999999.0
R_MALTPTabc, (b4035 & b4032 & b4033 & b4036 & b4034), "Maltopentaose transport via ABC system", M_atp_c + M_h2o_c + M_maltpt_e -> M_adp_c + M_h_c + M_maltpt_c + M_pi_c, 0.0, 999999.0
R_EX_15dap_e, , "1,5-Diaminopentane exchange", M_15dap_e <-> M_15dap_b, -999999.0, 999999.0
R_NMNDA, , "Nicotinamide-nucleotide amidase", M_h2o_c + M_nmn_c -> M_nh4_c + M_nicrnt_c, 0.0, 999999.0
R_EX_cynt_e, , "Cyanate exchange", M_cynt_e <-> M_cynt_b, -999999.0, 999999.0
R_EX_melib_e, , "Melibiose exchange", M_melib_e <-> M_melib_b, -999999.0, 999999.0
R_PPPNt2r, b2536, "3-phenylpropionate transport via proton symport, reversible", M_h_e + M_pppn_e <-> M_h_c + M_pppn_c, -999999.0, 999999.0
R_S7PI, b0222, "Sedoheptulose 7-phosphate isomerase", M_s7p_c -> M_gmhep7p_c, 0.0, 999999.0
R_EX_glcr_e, , "D-Glucarate exchange", M_glcr_e <-> M_glcr_b, -999999.0, 999999.0
R_TARTD, (b3062 & b3061), "L(+)-tartrate dehydratase", M_tartr__L_c -> M_h2o_c + M_oaa_c, 0.0, 999999.0
R_5DGLCNR, b4266, "5-dehydro-D-gluconate reductase", M_5dglcn_c + M_h_c + M_nadph_c <-> M_glcn_c + M_nadp_c, -999999.0, 999999.0
R_PFK_2, (b2168 | b1723 | (b3137 & b3132)), "Phosphofructokinase", M_atp_c + M_tag6p__D_c -> M_adp_c + M_h_c + M_tagdp__D_c, 0.0, 999999.0
R_G6PDH2r, b1852, "Glucose 6-phosphate dehydrogenase", M_g6p_c + M_nadp_c <-> M_6pgl_c + M_h_c + M_nadph_c, -999999.0, 999999.0
R_HISabc, (b2309 & b2308 & b2307 & b2306), "L-histidine transport via ABC system", M_atp_c + M_h2o_c + M_his__L_e -> M_adp_c + M_h_c + M_his__L_c + M_pi_c, 0.0, 999999.0
R_FAO3, (b1805 & b3845 & b0221 & b3846), "Fatty acid oxidation (octadecanoate)", M_atp_c + 9.0 M_coa_c + 8.0 M_fad_c + 8.0 M_h2o_c + 8.0 M_nad_c + M_ocdca_c -> 9.0 M_accoa_c + M_amp_c + 8.0 M_fadh2_c + 8.0 M_h_c + 8.0 M_nadh_c + M_ppi_c, 0.0, 999999.0
R_FAO4, (b0221 & b3846), "Fatty acid oxidation (Butanoyl-CoA )", M_btcoa_c + M_fad_c + M_h2o_c + M_nad_c -> M_aacoa_c + M_fadh2_c + M_h_c + M_nadh_c, 0.0, 999999.0
R_ASNt2r, , "L asparagine reversible transport via proton symport", M_asn__L_e + M_h_e <-> M_asn__L_c + M_h_c, -999999.0, 999999.0
R_SUCFUMt, (b4138 | b0621 | b4123), "Succinate:fumarate antiporter", M_fum_e + M_succ_c <-> M_fum_c + M_succ_e, -999999.0, 999999.0
R_HEMEOS, b0428, "Heme O synthase", M_frdp_c + M_h2o_c + M_pheme_c -> M_hemeO_c + M_ppi_c, 0.0, 999999.0
R_FUMt2_3, (b4123 | b0621 | b4138), "Fumarate transport via proton symport (3 H)", M_fum_e + 3.0 M_h_e -> M_fum_c + 3.0 M_h_c, 0.0, 999999.0
R_ACODA, b3957, "Acetylornithine deacetylase", M_acorn_c + M_h2o_c -> M_ac_c + M_orn_c, 0.0, 999999.0
R_EX_glyald_e, , "D-Glyceraldehyde exchange", M_glyald_e <-> M_glyald_b, -999999.0, 999999.0
R_EX_gal_e, , "D-Galactose exchange", M_gal_e <-> M_gal_b, -999999.0, 999999.0
R_MNNH, b4322, "D-mannonate hydrolyase", M_mana_c -> M_2ddglcn_c + M_h2o_c, 0.0, 999999.0
R_DHQTi, b1693, "3-dehydroquinate dehydratase, irreversible", M_3dhq_c <-> M_3dhsk_c + M_h2o_c, -999999.0, 999999.0
R_EX_3hcinnm_e, , "3-hydroxycinnamic acid exchange", M_3hcinnm_e <-> M_3hcinnm_b, -999999.0, 999999.0
R_NPHS, b2262, "Naphthoate synthase", M_sbzcoa_c -> M_coa_c + M_dhna_c, 0.0, 999999.0
R_TRSARr, (b3125 | b0509), "Tartronate semialdehyde reductase", M_2h3oppan_c + M_h_c + M_nadh_c -> M_glyc__R_c + M_nad_c, 0.0, 999999.0
R_TMAOR2, (b0894 & b0896 & b0895), "Trimethylamine N-oxide reductase (demethylmenaquinol 8)", M_2dmmql8_c + M_h_c + M_tmao_c -> M_2dmmq8_c + M_h2o_c + M_tma_c, 0.0, 999999.0
R_SHCHD2, b3368, "Sirohydrochlorin dehydrogenase (NAD)", M_dscl_c + M_nad_c -> M_h_c + M_nadh_c + M_scl_c, 0.0, 999999.0
R_PGCD, b2913, "Phosphoglycerate dehydrogenase", M_3pg_c + M_nad_c -> M_3php_c + M_h_c + M_nadh_c, 0.0, 999999.0
R_KAS15, b1091, "Beta-ketoacyl-ACP synthase (2)", M_accoa_c + M_h_c + M_malACP_c -> M_actACP_c + M_co2_c + M_coa_c, 0.0, 999999.0
R_EX_cys__L_e, , "L-Cysteine exchange", M_cys__L_e <-> M_cys__L_b, -999999.0, 999999.0
R_BUTt2r, b2223, "Butyrate transport via proton symport, reversible", M_but_e + M_h_e <-> M_but_c + M_h_c, -999999.0, 999999.0
R_URAt2_copy1, b2497, "Uracil transport in via proton symport", M_h_e + M_ura_e -> M_h_c + M_ura_c, 0.0, 999999.0
R_GLYCLTDy, (b3553 | b1033), "Glycolate dehydrogenase (NADP)", M_glx_c + M_h_c + M_nadph_c -> M_glyclt_c + M_nadp_c, 0.0, 999999.0
R_ASPCT, (b4244 & b4245), "Aspartate carbamoyltransferase", M_asp__L_c + M_cbp_c -> M_cbasp_c + M_h_c + M_pi_c, 0.0, 999999.0
R_PTRCTA, , "Putrescine Transaminase", M_akg_c + M_ptrc_c -> M_4abutn_c + M_glu__L_c, 0.0, 999999.0
R_HISt2r, b0112, "L histidine reversible transport via proton symport", M_h_e + M_his__L_e <-> M_h_c + M_his__L_c, -999999.0, 999999.0
R_EX_tartr__L_e, , "L-tartrate exchange", M_tartr__L_e <-> M_tartr__L_b, -999999.0, 999999.0
R_HYD3, ((b0974 & b0972 & b0973) | (b2994 & b2997)), "Hydrogenase (Demethylmenaquinone-8: 2 protons)", M_2dmmq8_c + M_h2_c + 2.0 M_h_c -> M_2dmmql8_c + 2.0 M_h_e, 0.0, 999999.0
R_CBIAT_DELETE, b1270, "Cobinamide adenyltransferase", M_atp_c + M_cbi_c + M_h2o_c <-> M_adocbi_c + M_pi_c + M_ppi_c, -999999.0, 999999.0
R_DKMPPD, , "2,3-diketo-5-methylthio-1-phosphopentane degradation reaction", M_dkmpp_c + M_h2o_c + M_o2_c -> M_2kmb_c + M_for_c + 2.0 M_h_c + M_pi_c, 0.0, 999999.0
R_EX_met__L_e, , "L-Methionine exchange", M_met__L_e <-> M_met__L_b, -999999.0, 999999.0
R_ATPM, , "ATP maintenance requirement", M_atp_c + M_h2o_c -> M_adp_c + M_h_c + M_pi_c, 7.6, 7.6
R_EX_csn_e, , "Cytosine exchange", M_csn_e <-> M_csn_b, -999999.0, 999999.0
R_GALCTND, b3692, "Galactonate dehydratase", M_galctn__D_c -> M_2dh3dgal_c + M_h2o_c, 0.0, 999999.0
R_GPDDA4, b2239, "Glycerophosphodiester phosphodiesterase (Glycerophosphoglycerol)", M_g3pg_c + M_h2o_c -> M_glyc3p_c + M_glyc_c + M_h_c, 0.0, 999999.0
R_EX_trp__L_e, , "L-Tryptophan exchange", M_trp__L_e <-> M_trp__L_b, -999999.0, 999999.0
R_PPCSCT, b2920, "Propanoyl-CoA: succinate CoA-transferase", M_ppcoa_c + M_succ_c -> M_ppa_c + M_succoa_c, 0.0, 999999.0
R_TREpts, (b2415 & b2417 & b2416 & b4240), "Trehalose transport via PEP:Pyr PTS", M_pep_c + M_tre_e -> M_pyr_c + M_tre6p_c, 0.0, 999999.0
R_GALKr, (b0757 | b2045), "Galactokinase", M_atp_c + M_gal_c <-> M_adp_c + M_gal1p_c + M_h_c, -999999.0, 999999.0
R_ASPt2_2, b3528, "Aspartate transport via proton symport (2 H)", M_asp__L_e + 2.0 M_h_e -> M_asp__L_c + 2.0 M_h_c, 0.0, 999999.0
R_ACGK, b3959, "Acetylglutamate kinase", M_acglu_c + M_atp_c -> M_acg5p_c + M_adp_c, 0.0, 999999.0
R_GALURt2r, b3093, "D-galacturonate transport via proton symport, reversible", M_galur_e + M_h_e <-> M_galur_c + M_h_c, -999999.0, 999999.0
R_LYSabc, (b2310 & b2307 & b2308 & b2306), "L-lysine transport via ABC system", M_atp_c + M_h2o_c + M_lys__L_e -> M_adp_c + M_h_c + M_lys__L_c + M_pi_c, 0.0, 999999.0
R_TDPGDH, (b2041 | b3788), "DTDPglucose 4,6-dehydratase", M_dtdpglu_c -> M_dtdp4d6dg_c + M_h2o_c, 0.0, 999999.0
R_TKT1, (b2935 | b2465), "Transketolase", M_r5p_c + M_xu5p__D_c <-> M_g3p_c + M_s7p_c, -999999.0, 999999.0
R_GPDDA1, b2239, "Glycerophosphodiester phosphodiesterase (Glycerophosphocholine)", M_g3pc_c + M_h2o_c -> M_chol_c + M_glyc3p_c + M_h_c, 0.0, 999999.0
R_EX_ac_e, , "Acetate exchange", M_ac_e <-> M_ac_b, -999999.0, 999999.0
